disease,window,n_states,n_windows,gate_geometry,panel_beta_one_way,panel_se_one_way,panel_t_one_way,panel_p_one_sided_one_way,panel_within_r2_one_way,panel_perm_p_one_way,panel_beta_two_way,panel_se_two_way,panel_t_two_way,panel_p_one_sided_two_way,panel_within_r2_two_way,panel_perm_p_two_way,wls_beta_one_way,wls_t_one_way,wls_beta_two_way,wls_t_two_way,nonparam_mean_rho_window_demeaned,nonparam_perm_p_window_demeaned,nonparam_sign_p_window_demeaned,lambda_within_one_way,lambda_within_two_way,icc_naive,icc_corrected,most_variance_between_places,fd_from_window,fd_rho,fd_p_one_sided,fd_pearson,fd_lambda_delta_concern,gate_new_within_place,gate_new_panel_two_way,gate_new_panel_one_way,gate_new_conjunction_reading,gate_old_between_place,old_rho_concern_burden,old_p_rho,sd_D,n_decisions_old,n_decisions_new,n_actionable_old,n_actionable_new,n_states_changed,alpha,bonferroni_alpha_6_transitions
flu,October 1 - October 25,51,4,within-place over time,0.13961390808896815,0.1059932888280677,1.3171957360001976,0.09688887107055691,0.010186542815904254,0.4166666666666667,0.22789600093731968,0.26058519032678545,0.8745546922736781,0.19299891280886108,0.00716189451137661,0.4166666666666667,0.19291027817556097,2.1831153546999937,-0.0026690510301356964,-0.011412493793988765,0.011764705882352951,0.4398,0.5,0.3897454806503865,0.094353251931359,0.47029237885430175,0.6949344291068362,True,,,,,,UNEVALUABLE_NO_PRECEDING_WINDOW,FAIL,FAIL,UNEVALUABLE_NO_PRECEDING_WINDOW,FAIL,0.1426,0.3180493538417485,1.2395637298479276,0,0,0,0,0,0.05,0.008333333333333333
flu,October 26 - November 29,51,4,within-place over time,0.13961390808896815,0.1059932888280677,1.3171957360001976,0.09688887107055691,0.010186542815904254,0.4166666666666667,0.22789600093731968,0.26058519032678545,0.8745546922736781,0.19299891280886108,0.00716189451137661,0.4166666666666667,0.19291027817556097,2.1831153546999937,-0.0026690510301356964,-0.011412493793988765,0.011764705882352951,0.4398,0.5,0.3897454806503865,0.094353251931359,0.47029237885430175,0.6949344291068362,True,October 1 - October 25,0.10206391251704333,0.2380229357136123,0.05759533701266157,0.0,FAIL,FAIL,FAIL,FAIL,FAIL,0.2128,0.13384127183004937,1.1530891824781746,0,0,0,0,0,0.05,0.008333333333333333
flu,November 30 - December 27,51,4,within-place over time,0.13961390808896815,0.1059932888280677,1.3171957360001976,0.09688887107055691,0.010186542815904254,0.4166666666666667,0.22789600093731968,0.26058519032678545,0.8745546922736781,0.19299891280886108,0.00716189451137661,0.4166666666666667,0.19291027817556097,2.1831153546999937,-0.0026690510301356964,-0.011412493793988765,0.011764705882352951,0.4398,0.5,0.3897454806503865,0.094353251931359,0.47029237885430175,0.6949344291068362,True,October 26 - November 29,0.3063972365596112,0.014380011781544513,0.3045307013981031,0.2373800943812722,PASS,FAIL,FAIL,PASS,PASS,0.504,0.0001627052364047493,0.9464536111894949,51,51,45,45,0,0.05,0.008333333333333333
flu,December 28 - January 31,51,4,within-place over time,0.13961390808896815,0.1059932888280677,1.3171957360001976,0.09688887107055691,0.010186542815904254,0.4166666666666667,0.22789600093731968,0.26058519032678545,0.8745546922736781,0.19299891280886108,0.00716189451137661,0.4166666666666667,0.19291027817556097,2.1831153546999937,-0.0026690510301356964,-0.011412493793988765,0.011764705882352951,0.4398,0.5,0.3897454806503865,0.094353251931359,0.47029237885430175,0.6949344291068362,True,November 30 - December 27,-0.08124010165017798,0.7145496107410598,-0.030242433912487862,0.0,FAIL,FAIL,FAIL,FAIL,FAIL,-0.2684,0.056883924266966965,1.5257775294340756,0,0,0,0,0,0.05,0.008333333333333333
covid,October 1 - October 25,51,4,within-place over time,-1.274125778514916,0.7729019152948454,-1.6484960811992095,0.9472393810291031,0.020351174969536978,0.7916666666666666,-0.2167185192671112,0.9485177923692281,-0.22848123779079255,0.589897980030401,0.0003944547735431625,0.5416666666666666,-1.577736596936123,-2.697464239910433,-0.8032168734148641,-1.126249613882475,0.031372549019607836,0.3582,0.3293690385118282,0.1090523078565797,0.0,0.7594849227331124,0.9666179601805838,True,,,,,,UNEVALUABLE_NO_PRECEDING_WINDOW,FAIL,FAIL,UNEVALUABLE_NO_PRECEDING_WINDOW,FAIL,0.1958,0.1684134441217508,1.2004989258836942,0,0,0,0,0,0.05,0.008333333333333333
covid,October 26 - November 29,51,4,within-place over time,-1.274125778514916,0.7729019152948454,-1.6484960811992095,0.9472393810291031,0.020351174969536978,0.7916666666666666,-0.2167185192671112,0.9485177923692281,-0.22848123779079255,0.589897980030401,0.0003944547735431625,0.5416666666666666,-1.577736596936123,-2.697464239910433,-0.8032168734148641,-1.126249613882475,0.031372549019607836,0.3582,0.3293690385118282,0.1090523078565797,0.0,0.7594849227331124,0.9666179601805838,True,October 1 - October 25,0.05848138545987253,0.34177045624098634,0.11141794286336548,0.23161364384757208,FAIL,FAIL,FAIL,FAIL,FAIL,-0.1854,0.19265242684518508,1.4681226023748877,0,0,0,0,0,0.05,0.008333333333333333
covid,November 30 - December 27,51,4,within-place over time,-1.274125778514916,0.7729019152948454,-1.6484960811992095,0.9472393810291031,0.020351174969536978,0.7916666666666666,-0.2167185192671112,0.9485177923692281,-0.22848123779079255,0.589897980030401,0.0003944547735431625,0.5416666666666666,-1.577736596936123,-2.697464239910433,-0.8032168734148641,-1.126249613882475,0.031372549019607836,0.3582,0.3293690385118282,0.1090523078565797,0.0,0.7594849227331124,0.9666179601805838,True,October 26 - November 29,-0.15490472248371812,0.8611241272086387,-0.09647639815688305,0.0,FAIL,FAIL,FAIL,FAIL,FAIL,-0.2741,0.05163711731760182,1.5082419695816816,0,0,0,0,0,0.05,0.008333333333333333
covid,December 28 - January 31,51,4,within-place over time,-1.274125778514916,0.7729019152948454,-1.6484960811992095,0.9472393810291031,0.020351174969536978,0.7916666666666666,-0.2167185192671112,0.9485177923692281,-0.22848123779079255,0.589897980030401,0.0003944547735431625,0.5416666666666666,-1.577736596936123,-2.697464239910433,-0.8032168734148641,-1.126249613882475,0.031372549019607836,0.3582,0.3293690385118282,0.1090523078565797,0.0,0.7594849227331124,0.9666179601805838,True,November 30 - December 27,-0.08024258499559685,0.7121729886351347,-0.08801364820053917,0.0,FAIL,FAIL,FAIL,FAIL,FAIL,-0.2181,0.12410019448047378,1.4973146080744673,0,0,0,0,0,0.05,0.008333333333333333
