disease,state,window,concern,ci_low,ci_high,sample_size
covid,hi,October 26 - November 29,39.7,36.0,43.4,1023
covid,wa,October 26 - November 29,34.4,24.9,43.9,234
covid,sc,October 26 - November 29,34.7,31.3,38.2,1072
covid,la,October 26 - November 29,34.1,30.1,38.0,798
covid,mo,October 26 - November 29,28.7,20.6,36.9,225
covid,ky,October 26 - November 29,32.4,28.2,36.6,644
covid,vt,October 26 - November 29,40.9,37.3,44.5,912
covid,ny,October 26 - November 29,38.0,32.9,43.2,878
covid,ak,October 26 - November 29,29.3,25.3,33.3,586
covid,ok,October 26 - November 29,28.8,25.5,32.2,900
covid,md,October 26 - November 29,36.9,30.0,43.7,454
covid,pa,October 26 - November 29,33.2,30.6,35.9,2735
covid,tn,October 26 - November 29,31.9,28.8,34.9,1139
covid,wv,October 26 - November 29,33.8,30.5,37.1,1155
covid,de,October 26 - November 29,39.8,36.2,43.4,1020
covid,nv,October 26 - November 29,34.1,28.7,39.6,389
covid,dc,October 26 - November 29,51.4,47.9,54.9,1142
covid,il,October 26 - November 29,37.9,35.2,40.5,2471
covid,ks,October 26 - November 29,31.0,26.4,35.6,467
covid,ut,October 26 - November 29,15.7,6.8,24.6,114
covid,sd,October 26 - November 29,27.5,23.6,31.4,618
covid,co,October 26 - November 29,32.4,28.1,36.7,544
covid,me,October 26 - November 29,36.9,34.1,39.8,1412
covid,ar,October 26 - November 29,30.1,26.6,33.5,1083
covid,ma,October 26 - November 29,37.7,34.2,41.2,1054
covid,nm,October 26 - November 29,32.7,28.1,37.3,539
covid,al,October 26 - November 29,33.7,30.3,37.1,1100
covid,ca,October 26 - November 29,38.9,34.3,43.5,898
covid,tx,October 26 - November 29,35.9,33.1,38.7,3318
covid,or,October 26 - November 29,38.6,34.0,43.2,474
covid,fl,October 26 - November 29,32.4,28.2,36.6,960
covid,wy,October 26 - November 29,29.6,25.1,34.1,551
covid,va,October 26 - November 29,39.5,35.6,43.5,986
covid,nd,October 26 - November 29,28.7,24.5,33.0,585
covid,ri,October 26 - November 29,37.8,33.4,42.2,685
covid,nh,October 26 - November 29,35.7,32.2,39.1,1071
covid,mi,October 26 - November 29,35.2,30.4,40.0,634
covid,ia,October 26 - November 29,29.9,26.0,33.8,635
covid,ga,October 26 - November 29,31.6,24.7,38.4,406
covid,az,October 26 - November 29,33.4,28.0,38.8,573
covid,nj,October 26 - November 29,36.3,32.7,39.9,968
covid,id,October 26 - November 29,25.7,19.9,31.5,254
covid,nc,October 26 - November 29,38.6,34.3,43.0,726
covid,ms,October 26 - November 29,35.4,30.5,40.3,556
covid,ma,November 30 - December 27,42.8,38.2,47.5,611
covid,il,November 30 - December 27,34.0,28.9,39.1,925
covid,vt,November 30 - December 27,34.4,29.3,39.4,402
covid,ri,November 30 - December 27,38.8,32.5,45.0,349
covid,nd,November 30 - December 27,29.5,23.7,35.4,312
covid,ny,November 30 - December 27,35.8,27.7,43.9,373
covid,ak,November 30 - December 27,31.5,24.6,38.4,232
covid,ms,November 30 - December 27,31.3,23.6,39.0,222
covid,or,November 30 - December 27,37.4,34.2,40.7,1014
covid,co,November 30 - December 27,35.0,31.3,38.7,770
covid,ky,November 30 - December 27,32.0,27.2,36.8,471
covid,ca,November 30 - December 27,40.0,37.1,42.9,1512
covid,dc,November 30 - December 27,51.1,46.3,56.0,577
covid,ut,November 30 - December 27,26.3,17.0,35.6,158
covid,al,November 30 - December 27,32.1,28.1,36.1,748
covid,sc,November 30 - December 27,33.5,29.5,37.5,727
covid,mo,November 30 - December 27,25.1,14.8,35.5,89
covid,va,November 30 - December 27,38.1,33.9,42.3,765
covid,nh,November 30 - December 27,35.1,29.9,40.2,504
covid,sd,November 30 - December 27,23.9,20.0,27.8,511
covid,tx,November 30 - December 27,34.3,31.1,37.6,1753
covid,hi,November 30 - December 27,41.8,35.7,47.9,383
covid,de,November 30 - December 27,37.9,33.4,42.4,627
covid,ar,November 30 - December 27,27.4,23.4,31.5,615
covid,in,November 30 - December 27,29.5,23.8,35.1,313
covid,ok,November 30 - December 27,31.2,27.2,35.2,653
covid,mn,November 30 - December 27,36.6,30.4,42.7,309
covid,ct,November 30 - December 27,42.7,38.6,46.7,837
covid,tn,November 30 - December 27,30.6,26.1,35.1,511
covid,nm,November 30 - December 27,40.0,34.6,45.4,545
covid,id,November 30 - December 27,26.6,22.9,30.3,671
covid,mt,November 30 - December 27,30.7,27.3,34.1,929
covid,ks,November 30 - December 27,28.1,18.2,37.9,111
covid,pa,November 30 - December 27,34.4,30.2,38.6,1406
covid,me,November 30 - December 27,34.1,30.0,38.2,651
covid,az,November 30 - December 27,34.7,27.2,42.1,313
covid,wv,November 30 - December 27,33.9,29.8,38.0,752
covid,nv,November 30 - December 27,32.5,28.7,36.3,752
covid,md,November 30 - December 27,49.4,41.6,57.1,283
covid,ne,November 30 - December 27,28.5,23.5,33.5,355
covid,la,November 30 - December 27,34.7,29.1,40.3,443
covid,wy,November 30 - December 27,24.7,21.5,27.9,914
covid,nj,November 30 - December 27,35.1,30.7,39.5,650
covid,ga,November 30 - December 27,32.1,22.2,41.9,176
covid,nc,November 30 - December 27,41.2,34.9,47.4,378
covid,fl,November 30 - December 27,33.4,28.6,38.3,711
covid,oh,November 30 - December 27,26.7,18.8,34.6,200
covid,ia,November 30 - December 27,28.4,24.1,32.8,514
covid,mi,November 30 - December 27,34.0,29.3,38.6,500
covid,wi,November 30 - December 27,29.1,25.3,33.0,660
covid,wa,November 30 - December 27,35.8,26.4,45.2,212
