disease,window,burden_clause,t_alert,asymmetry_ratio,t_calm,gate,n_alert,n_calm,n_hold_watch,n_hold_monitor,n_hold_uncertainty
flu,October 26 - November 29,off,1.5,1.0,1.5,FAIL (counterfactual counts),5,0,4,9,33
flu,October 26 - November 29,off,1.5,1.25,1.875,FAIL (counterfactual counts),5,0,0,13,33
flu,October 26 - November 29,off,1.5,1.5,2.25,FAIL (counterfactual counts),5,0,0,13,33
flu,October 26 - November 29,off,1.5,2.0,3.0,FAIL (counterfactual counts),5,0,0,13,33
flu,October 26 - November 29,off,1.5,3.0,4.5,FAIL (counterfactual counts),5,0,0,13,33
flu,November 30 - December 27,off,0.25,1.0,0.25,PASS,7,0,7,0,37
flu,November 30 - December 27,off,0.25,1.25,0.3125,PASS,7,0,7,0,37
flu,November 30 - December 27,off,0.25,1.5,0.375,PASS,7,0,7,0,37
flu,November 30 - December 27,off,0.25,2.0,0.5,PASS,7,0,7,0,37
flu,November 30 - December 27,off,0.25,3.0,0.75,PASS,7,0,7,0,37
flu,November 30 - December 27,off,0.5,1.0,0.5,PASS,7,0,7,0,37
flu,November 30 - December 27,off,0.5,1.25,0.625,PASS,7,0,7,0,37
flu,November 30 - December 27,off,0.5,1.5,0.75,PASS,7,0,7,0,37
flu,November 30 - December 27,off,0.5,2.0,1.0,PASS,7,0,6,1,37
flu,November 30 - December 27,off,0.5,3.0,1.5,PASS,7,0,2,5,37
flu,November 30 - December 27,off,0.75,1.0,0.75,PASS,6,0,7,1,37
flu,November 30 - December 27,off,0.75,1.25,0.9375,PASS,6,0,6,2,37
flu,November 30 - December 27,off,0.75,1.5,1.125,PASS,6,0,6,2,37
flu,November 30 - December 27,off,0.75,2.0,1.5,PASS,6,0,2,6,37
flu,November 30 - December 27,off,0.75,3.0,2.25,PASS,6,0,1,7,37
flu,November 30 - December 27,off,1.0,1.0,1.0,PASS,4,0,6,4,37
flu,November 30 - December 27,off,1.0,1.25,1.25,PASS,4,0,4,6,37
flu,November 30 - December 27,off,1.0,1.5,1.5,PASS,4,0,2,8,37
flu,November 30 - December 27,off,1.0,2.0,2.0,PASS,4,0,2,8,37
flu,November 30 - December 27,off,1.0,3.0,3.0,PASS,4,0,0,10,37
flu,November 30 - December 27,off,1.25,1.0,1.25,PASS,1,0,4,9,37
flu,November 30 - December 27,off,1.25,1.25,1.5625,PASS,1,0,2,11,37
flu,November 30 - December 27,off,1.25,1.5,1.875,PASS,1,0,2,11,37
flu,November 30 - December 27,off,1.25,2.0,2.5,PASS,1,0,1,12,37
flu,November 30 - December 27,off,1.25,3.0,3.75,PASS,1,0,0,13,37
flu,November 30 - December 27,off,1.5,1.0,1.5,PASS,1,0,2,11,37
flu,November 30 - December 27,off,1.5,1.25,1.875,PASS,1,0,2,11,37
flu,November 30 - December 27,off,1.5,1.5,2.25,PASS,1,0,1,12,37
flu,November 30 - December 27,off,1.5,2.0,3.0,PASS,1,0,0,13,37
flu,November 30 - December 27,off,1.5,3.0,4.5,PASS,1,0,0,13,37
flu,December 28 - January 31,off,0.25,1.0,0.25,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.25,1.25,0.3125,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.25,1.5,0.375,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.25,2.0,0.5,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.25,3.0,0.75,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.5,1.0,0.5,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.5,1.25,0.625,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.5,1.5,0.75,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.5,2.0,1.0,FAIL (counterfactual counts),11,0,10,2,28
flu,December 28 - January 31,off,0.5,3.0,1.5,FAIL (counterfactual counts),11,0,9,3,28
flu,December 28 - January 31,off,0.75,1.0,0.75,FAIL (counterfactual counts),11,0,12,0,28
flu,December 28 - January 31,off,0.75,1.25,0.9375,FAIL (counterfactual counts),11,0,11,1,28
flu,December 28 - January 31,off,0.75,1.5,1.125,FAIL (counterfactual counts),11,0,10,2,28
flu,December 28 - January 31,off,0.75,2.0,1.5,FAIL (counterfactual counts),11,0,9,3,28
flu,December 28 - January 31,off,0.75,3.0,2.25,FAIL (counterfactual counts),11,0,5,7,28
flu,December 28 - January 31,off,1.0,1.0,1.0,FAIL (counterfactual counts),11,0,10,2,28
flu,December 28 - January 31,off,1.0,1.25,1.25,FAIL (counterfactual counts),11,0,9,3,28
flu,December 28 - January 31,off,1.0,1.5,1.5,FAIL (counterfactual counts),11,0,9,3,28
flu,December 28 - January 31,off,1.0,2.0,2.0,FAIL (counterfactual counts),11,0,5,7,28
flu,December 28 - January 31,off,1.0,3.0,3.0,FAIL (counterfactual counts),11,0,1,11,28
flu,December 28 - January 31,off,1.25,1.0,1.25,FAIL (counterfactual counts),10,0,9,4,28
flu,December 28 - January 31,off,1.25,1.25,1.5625,FAIL (counterfactual counts),10,0,9,4,28
flu,December 28 - January 31,off,1.25,1.5,1.875,FAIL (counterfactual counts),10,0,5,8,28
flu,December 28 - January 31,off,1.25,2.0,2.5,FAIL (counterfactual counts),10,0,4,9,28
flu,December 28 - January 31,off,1.25,3.0,3.75,FAIL (counterfactual counts),10,0,0,13,28
flu,December 28 - January 31,off,1.5,1.0,1.5,FAIL (counterfactual counts),7,0,9,7,28
flu,December 28 - January 31,off,1.5,1.25,1.875,FAIL (counterfactual counts),7,0,5,11,28
flu,December 28 - January 31,off,1.5,1.5,2.25,FAIL (counterfactual counts),7,0,5,11,28
flu,December 28 - January 31,off,1.5,2.0,3.0,FAIL (counterfactual counts),7,0,1,15,28
flu,December 28 - January 31,off,1.5,3.0,4.5,FAIL (counterfactual counts),7,0,0,16,28
covid,October 1 - October 25,off,0.25,1.0,0.25,FAIL (counterfactual counts),12,0,11,0,28
covid,October 1 - October 25,off,0.25,1.25,0.3125,FAIL (counterfactual counts),12,0,11,0,28
covid,October 1 - October 25,off,0.25,1.5,0.375,FAIL (counterfactual counts),12,0,11,0,28
covid,October 1 - October 25,off,0.25,2.0,0.5,FAIL (counterfactual counts),12,0,11,0,28
covid,October 1 - October 25,off,0.25,3.0,0.75,FAIL (counterfactual counts),12,0,10,1,28
covid,October 1 - October 25,off,0.5,1.0,0.5,FAIL (counterfactual counts),12,0,11,0,28
covid,October 1 - October 25,off,0.5,1.25,0.625,FAIL (counterfactual counts),12,0,11,0,28
covid,October 1 - October 25,off,0.5,1.5,0.75,FAIL (counterfactual counts),12,0,10,1,28
covid,October 1 - October 25,off,0.5,2.0,1.0,FAIL (counterfactual counts),12,0,8,3,28
covid,October 1 - October 25,off,0.5,3.0,1.5,FAIL (counterfactual counts),12,0,4,7,28
covid,October 1 - October 25,off,0.75,1.0,0.75,FAIL (counterfactual counts),11,0,10,2,28
covid,October 1 - October 25,off,0.75,1.25,0.9375,FAIL (counterfactual counts),11,0,8,4,28
covid,October 1 - October 25,off,0.75,1.5,1.125,FAIL (counterfactual counts),11,0,7,5,28
covid,October 1 - October 25,off,0.75,2.0,1.5,FAIL (counterfactual counts),11,0,4,8,28
