disease,window,basis,burden_clause,n,rho_action_vote,p_action_vote,rho_action_burden,p_action_burden,mean_gop_alerted,mean_gop_not_alerted,mwu_p_vote,mean_burden_alerted,mean_burden_not_alerted,mwu_p_burden
flu,October 1 - October 25,"COUNTERFACTUAL (gate failed, no decisions were issued)",independent,51,-0.409328374992632,0.0028581339420845776,-0.5690328529047182,1.3184139194170617e-05,22.855,0.6187804878048784,0.003945000164249584,0.30375,0.10451219512195123,6.0257372320756896e-05
flu,October 26 - November 29,"COUNTERFACTUAL (gate failed, no decisions were issued)",independent,51,-0.2438760432587106,0.08460097560426492,-0.46066517078439806,0.0006696924682093195,19.47714285714286,2.6722727272727274,0.08733553242450233,1.1242857142857143,0.49759090909090914,0.0011798457765387848
flu,November 30 - December 27,actual,independent,51,-0.12403473458920845,0.3858428058660905,-0.4010456418384406,0.0035392725835199706,5.5135555555555555,0.9683333333333332,0.3979310873285484,4.5645,2.3945833333333337,0.0028247376656490536
flu,December 28 - January 31,"COUNTERFACTUAL (gate failed, no decisions were issued)",independent,51,-0.5334689477362992,5.556547247731755e-05,-0.6039407746178689,2.7045313600928784e-06,11.59268292682927,-22.137999999999998,0.00016968742166805127,3.832439024390244,2.5302,2.0567102939640303e-05
covid,October 1 - October 25,"COUNTERFACTUAL (gate failed, no decisions were issued)",independent,51,-0.4459327480451426,0.0010395439902673856,-0.537088586548178,4.835143134868372e-05,22.56833333333334,-0.4333333333333334,0.0016773053133025911,0.5645833333333333,0.4026282051282052,0.00015267033674038548
covid,October 26 - November 29,"COUNTERFACTUAL (gate failed, no decisions were issued)",independent,51,-0.5552032675071971,2.3523346846528934e-05,-0.6537514468087614,1.9768452898302358e-07,24.682142857142853,-2.476486486486486,9.028194386572185e-05,0.5194285714285715,0.3246486486486486,3.984932875813879e-06
covid,November 30 - December 27,"COUNTERFACTUAL (gate failed, no decisions were issued)",independent,51,-0.38995915103121215,0.004672892203208097,-0.671155720230843,7.049004720743854e-08,18.28235294117647,-1.6729411764705888,0.006006306124333555,1.0122058823529414,0.534485294117647,2.1819647060285604e-06
covid,December 28 - January 31,"COUNTERFACTUAL (gate failed, no decisions were issued)",independent,51,-0.4238648601399031,0.0019383788621354266,-0.5880644792035198,5.687331903032705e-06,21.23928571428571,-1.1737837837837841,0.0028207666791599177,1.2354285714285713,0.658864864864865,3.358468824946688e-05
flu,October 1 - October 25,"COUNTERFACTUAL (gate failed, no decisions were issued)",off,51,-0.409328374992632,0.0028581339420845776,-0.5690328529047182,1.3184139194170617e-05,22.855,0.6187804878048784,0.003945000164249584,0.30375,0.10451219512195123,6.0257372320756896e-05
flu,October 26 - November 29,"COUNTERFACTUAL (gate failed, no decisions were issued)",off,51,-0.2438760432587106,0.08460097560426492,-0.46066517078439806,0.0006696924682093195,19.47714285714286,2.6722727272727274,0.08733553242450233,1.1242857142857143,0.49759090909090914,0.0011798457765387848
flu,November 30 - December 27,actual,off,51,-0.11226040086512074,0.43285914967672434,-0.18968136697899712,0.1824814520097503,13.361428571428572,3.645227272727274,0.4436148878299393,5.073214285714286,4.187670454545454,0.18859587251490176
flu,December 28 - January 31,"COUNTERFACTUAL (gate failed, no decisions were issued)",off,51,-0.3335913919501173,0.016746459318425853,-0.5667943147232337,1.4505114612605465e-05,19.35818181818182,1.0245000000000004,0.018905117673618823,4.53090909090909,3.3147999999999995,6.43157294288673e-05
covid,October 1 - October 25,"COUNTERFACTUAL (gate failed, no decisions were issued)",off,51,-0.4459327480451426,0.0010395439902673856,-0.537088586548178,4.835143134868372e-05,22.56833333333334,-0.4333333333333334,0.0016773053133025911,0.5645833333333333,0.4026282051282052,0.00015267033674038548
covid,October 26 - November 29,"COUNTERFACTUAL (gate failed, no decisions were issued)",off,51,-0.5552032675071971,2.3523346846528934e-05,-0.6537514468087614,1.9768452898302358e-07,24.682142857142853,-2.476486486486486,9.028194386572185e-05,0.5194285714285715,0.3246486486486486,3.984932875813879e-06
covid,November 30 - December 27,"COUNTERFACTUAL (gate failed, no decisions were issued)",off,51,-0.38995915103121215,0.004672892203208097,-0.671155720230843,7.049004720743854e-08,18.28235294117647,-1.6729411764705888,0.006006306124333555,1.0122058823529414,0.534485294117647,2.1819647060285604e-06
covid,December 28 - January 31,"COUNTERFACTUAL (gate failed, no decisions were issued)",off,51,-0.4238648601399031,0.0019383788621354266,-0.5880644792035198,5.687331903032705e-06,21.23928571428571,-1.1737837837837841,0.0028207666791599177,1.2354285714285713,0.658864864864865,3.358468824946688e-05
