state,window,concern_pct,ci_low,ci_high,sample_size,suppressed
ga,November 30 - December 27,29.9,20.1,39.8,176,0
ar,November 30 - December 27,25.6,21.7,29.5,613,0
fl,November 30 - December 27,23.5,19.3,27.8,711,0
wv,November 30 - December 27,29.5,25.6,33.4,755,0
ut,November 30 - December 27,24.1,15.3,32.8,158,0
sd,November 30 - December 27,22.7,18.7,26.6,513,0
pa,November 30 - December 27,27.9,23.9,31.9,1403,0
ne,November 30 - December 27,28.3,23.3,33.3,354,0
in,November 30 - December 27,25.0,19.7,30.4,314,0
nm,November 30 - December 27,30.4,25.5,35.3,546,0
me,November 30 - December 27,31.2,27.1,35.2,649,0
de,November 30 - December 27,34.2,29.8,38.6,622,0
co,November 30 - December 27,27.9,24.5,31.4,771,0
ri,November 30 - December 27,31.0,25.1,36.8,350,0
ky,November 30 - December 27,26.8,22.3,31.2,470,0
wa,November 30 - December 27,29.4,20.7,38.1,213,0
al,November 30 - December 27,28.3,24.5,32.1,751,0
ks,November 30 - December 27,23.4,14.3,32.5,111,0
ny,November 30 - December 27,28.9,21.7,36.1,372,0
or,November 30 - December 27,30.7,27.6,33.8,1019,0
nd,November 30 - December 27,25.5,20.0,31.0,311,0
oh,November 30 - December 27,25.7,17.7,33.7,201,0
nv,November 30 - December 27,25.5,21.9,29.0,753,0
ct,November 30 - December 27,35.2,31.4,39.0,840,0
wi,November 30 - December 27,28.5,24.6,32.5,656,0
nh,November 30 - December 27,32.2,27.2,37.3,503,0
mo,November 30 - December 27,16.1,10.2,21.9,88,0
ia,November 30 - December 27,24.5,20.4,28.6,513,0
tn,November 30 - December 27,25.7,21.4,30.1,511,0
ca,November 30 - December 27,30.7,27.9,33.5,1512,0
id,November 30 - December 27,24.1,20.6,27.6,670,0
wy,November 30 - December 27,20.2,17.3,23.1,920,0
sc,November 30 - December 27,26.2,22.5,29.9,725,0
nj,November 30 - December 27,31.3,27.1,35.4,650,0
vt,November 30 - December 27,27.8,23.1,32.4,402,0
nc,November 30 - December 27,34.0,27.9,40.1,378,0
ok,November 30 - December 27,26.8,23.1,30.6,656,0
la,November 30 - December 27,30.9,25.4,36.4,441,0
ms,November 30 - December 27,24.4,17.7,31.1,222,0
az,November 30 - December 27,18.4,12.9,23.9,314,0
me,December 28 - January 31,33.0,30.0,35.9,1310,0
ak,December 28 - January 31,29.1,24.1,34.0,382,0
mo,December 28 - January 31,25.6,18.1,33.2,244,0
oh,December 28 - January 31,28.7,20.1,37.2,239,0
az,December 28 - January 31,29.5,24.2,34.8,548,0
ma,December 28 - January 31,36.9,33.4,40.3,983,0
vt,December 28 - January 31,34.1,30.2,38.0,788,0
wv,December 28 - January 31,31.1,27.7,34.6,1041,0
pa,December 28 - January 31,32.6,30.2,35.0,2163,0
nv,December 28 - January 31,30.8,26.3,35.3,536,0
ca,December 28 - January 31,32.5,29.4,35.6,2327,0
ut,December 28 - January 31,18.8,11.1,26.5,195,0
sd,December 28 - January 31,27.4,23.6,31.3,637,0
nd,December 28 - January 31,26.4,22.0,30.9,497,0
mi,December 28 - January 31,33.3,27.8,38.9,484,0
ar,December 28 - January 31,25.4,20.2,30.6,362,0
al,December 28 - January 31,32.8,29.9,35.6,1404,0
ne,December 28 - January 31,29.9,26.4,33.4,819,0
id,December 28 - January 31,26.7,21.1,32.4,290,0
ny,December 28 - January 31,34.0,28.2,39.8,602,0
la,December 28 - January 31,32.2,28.0,36.3,702,0
mt,December 28 - January 31,28.9,26.1,31.6,1398,0
va,December 28 - January 31,37.1,34.0,40.2,1379,0
ri,December 28 - January 31,33.7,27.8,39.6,351,0
sc,December 28 - January 31,32.1,29.2,35.1,1373,0
md,December 28 - January 31,42.6,35.8,49.4,488,0
wi,December 28 - January 31,27.8,22.3,33.3,387,0
tx,December 28 - January 31,29.4,27.0,31.9,4145,0
ia,December 28 - January 31,28.1,22.7,33.4,382,0
ks,December 28 - January 31,24.2,18.3,30.1,231,0
de,December 28 - January 31,32.9,29.7,36.1,1114,0
nc,December 28 - January 31,33.3,28.1,38.4,610,0
hi,December 28 - January 31,38.6,34.7,42.5,905,0
ga,December 28 - January 31,27.1,19.8,34.4,340,0
mn,December 28 - January 31,31.1,28.2,34.0,1221,0
wa,December 28 - January 31,32.1,24.3,39.9,332,0
co,December 28 - January 31,35.1,31.8,38.5,975,0
nj,December 28 - January 31,36.2,32.7,39.6,1015,0
nh,December 28 - January 31,35.6,32.5,38.6,1332,0
ct,December 28 - January 31,43.0,38.1,47.9,592,0
il,December 28 - January 31,32.4,30.1,34.8,2486,0
ok,December 28 - January 31,25.8,20.9,30.8,342,0
tn,December 28 - January 31,29.6,26.8,32.5,1307,0
fl,December 28 - January 31,36.1,30.4,41.9,655,0
dc,December 28 - January 31,43.6,40.2,47.1,1166,0
wy,December 28 - January 31,28.1,24.8,31.3,998,0
in,December 28 - January 31,30.5,27.3,33.7,1039,0
ky,December 28 - January 31,33.3,27.8,38.8,407,0
or,December 28 - January 31,30.7,27.8,33.7,1070,0
ms,December 28 - January 31,29.5,24.9,34.1,652,0
nm,December 28 - January 31,38.2,31.9,44.4,361,0
