disease,state,window,epiweeks,burden_mean,burden_max,nweeks
flu,wa,October 26 - November 29,202544-202548,0.48599999999999993,0.82,5
flu,wi,October 26 - November 29,202544-202548,0.274,0.63,5
flu,wv,October 26 - November 29,202544-202548,0.198,0.35,5
flu,wy,October 26 - November 29,202544-202548,0.514,1.15,5
flu,ak,November 30 - December 27,202549-202552,6.005,11.25,4
flu,al,November 30 - December 27,202549-202552,5.52,10.78,4
flu,ar,November 30 - December 27,202549-202552,3.4375,7.18,4
flu,az,November 30 - December 27,202549-202552,1.9625,3.86,4
flu,ca,November 30 - December 27,202549-202552,1.4075,2.71,4
flu,co,November 30 - December 27,202549-202552,5.965,9.61,4
flu,ct,November 30 - December 27,202549-202552,7.6499999999999995,12.02,4
flu,dc,November 30 - December 27,202549-202552,5.12,8.6,4
flu,de,November 30 - December 27,202549-202552,4.3075,9.33,4
flu,fl,November 30 - December 27,202549-202552,4.2175,6.68,4
flu,ga,November 30 - December 27,202549-202552,4.9775,9.8,4
flu,hi,November 30 - December 27,202549-202552,7.0075,9.26,4
flu,ia,November 30 - December 27,202549-202552,2.9,7.41,4
flu,id,November 30 - December 27,202549-202552,3.915,7.34,4
flu,il,November 30 - December 27,202549-202552,4.31,9.04,4
flu,in,November 30 - December 27,202549-202552,4.285,8.78,4
flu,ks,November 30 - December 27,202549-202552,3.075,7.15,4
flu,ky,November 30 - December 27,202549-202552,3.6075,7.84,4
flu,la,November 30 - December 27,202549-202552,6.4525,10.52,4
flu,ma,November 30 - December 27,202549-202552,5.297499999999999,10.35,4
flu,md,November 30 - December 27,202549-202552,6.3725000000000005,11.26,4
flu,me,November 30 - December 27,202549-202552,3.345,7.5,4
flu,mi,November 30 - December 27,202549-202552,4.109999999999999,8.1,4
flu,mn,November 30 - December 27,202549-202552,6.8774999999999995,12.56,4
flu,mo,November 30 - December 27,202549-202552,3.7750000000000004,8.91,4
flu,ms,November 30 - December 27,202549-202552,3.21,5.94,4
flu,mt,November 30 - December 27,202549-202552,3.045,6.21,4
flu,nc,November 30 - December 27,202549-202552,9.252500000000001,17.49,4
flu,nd,November 30 - December 27,202549-202552,3.85,8.3,4
flu,ne,November 30 - December 27,202549-202552,1.835,4.16,4
flu,nh,November 30 - December 27,202549-202552,4.3149999999999995,9.57,4
flu,nj,November 30 - December 27,202549-202552,6.989999999999999,11.2,4
flu,nm,November 30 - December 27,202549-202552,5.300000000000001,11.47,4
flu,nv,November 30 - December 27,202549-202552,2.8499999999999996,5.47,4
flu,ny,November 30 - December 27,202549-202552,6.7775,9.4,4
flu,oh,November 30 - December 27,202549-202552,4.125,8.7,4
flu,ok,November 30 - December 27,202549-202552,1.89,4.31,4
flu,or,November 30 - December 27,202549-202552,1.235,2.24,4
flu,pa,November 30 - December 27,202549-202552,3.3775,6.92,4
flu,ri,November 30 - December 27,202549-202552,4.8875,9.0,4
flu,sc,November 30 - December 27,202549-202552,5.03,10.21,4
flu,sd,November 30 - December 27,202549-202552,1.69,4.67,4
flu,tn,November 30 - December 27,202549-202552,3.88,8.6,4
flu,tx,November 30 - December 27,202549-202552,5.9625,9.8,4
flu,ut,November 30 - December 27,202549-202552,4.8475,9.25,4
flu,va,November 30 - December 27,202549-202552,4.8325,10.17,4
flu,vt,November 30 - December 27,202549-202552,2.6174999999999997,6.38,4
flu,wa,November 30 - December 27,202549-202552,1.9874999999999998,3.44,4
flu,wi,November 30 - December 27,202549-202552,4.2725,9.14,4
flu,wv,November 30 - December 27,202549-202552,2.2375,5.16,4
flu,wy,November 30 - December 27,202549-202552,3.5725,7.13,4
flu,ak,December 28 - January 31,202601-202605,4.564,6.72,5
flu,al,December 28 - January 31,202601-202605,5.18,7.2,5
flu,ar,December 28 - January 31,202601-202605,4.348,5.81,5
flu,az,December 28 - January 31,202601-202605,2.5140000000000002,3.77,5
flu,ca,December 28 - January 31,202601-202605,3.3400000000000007,4.58,5
flu,co,December 28 - January 31,202601-202605,2.5479999999999996,4.29,5
flu,ct,December 28 - January 31,202601-202605,2.322,4.48,5
flu,dc,December 28 - January 31,202601-202605,2.5520000000000005,5.11,5
flu,de,December 28 - January 31,202601-202605,4.014,5.55,5
flu,fl,December 28 - January 31,202601-202605,4.404,5.31,5
flu,ga,December 28 - January 31,202601-202605,2.354,3.15,5
flu,hi,December 28 - January 31,202601-202605,3.308,5.38,5
flu,ia,December 28 - January 31,202601-202605,5.5280000000000005,5.98,5
flu,id,December 28 - January 31,202601-202605,3.1959999999999997,3.73,5
flu,il,December 28 - January 31,202601-202605,3.376,4.38,5
flu,in,December 28 - January 31,202601-202605,3.2359999999999998,3.92,5
flu,ks,December 28 - January 31,202601-202605,4.92,5.5,5
flu,ky,December 28 - January 31,202601-202605,3.6340000000000003,4.22,5
flu,la,December 28 - January 31,202601-202605,4.526,5.1,5
flu,ma,December 28 - January 31,202601-202605,3.056,5.67,5
flu,md,December 28 - January 31,202601-202605,2.5479999999999996,5.17,5
flu,me,December 28 - January 31,202601-202605,3.682,4.88,5
flu,mi,December 28 - January 31,202601-202605,3.084,4.13,5
flu,mn,December 28 - January 31,202601-202605,3.7739999999999996,6.07,5
flu,mo,December 28 - January 31,202601-202605,4.836,5.42,5
flu,ms,December 28 - January 31,202601-202605,3.598,5.27,5
flu,mt,December 28 - January 31,202601-202605,3.496,3.85,5
flu,nc,December 28 - January 31,202601-202605,4.536,7.24,5
flu,nd,December 28 - January 31,202601-202605,3.618,4.88,5
flu,ne,December 28 - January 31,202601-202605,3.0599999999999996,3.61,5
flu,nh,December 28 - January 31,202601-202605,4.1579999999999995,6.26,5
flu,nj,December 28 - January 31,202601-202605,2.7,5.19,5
flu,nm,December 28 - January 31,202601-202605,3.6480000000000006,4.75,5
flu,nv,December 28 - January 31,202601-202605,2.364,2.77,5
flu,ny,December 28 - January 31,202601-202605,1.6480000000000001,3.34,5
flu,oh,December 28 - January 31,202601-202605,3.528,4.4,5
flu,ok,December 28 - January 31,202601-202605,3.4200000000000004,4.45,5
flu,or,December 28 - January 31,202601-202605,4.804,7.24,5
flu,pa,December 28 - January 31,202601-202605,2.774,4.16,5
flu,ri,December 28 - January 31,202601-202605,2.2560000000000002,4.55,5
flu,sc,December 28 - January 31,202601-202605,3.5260000000000007,4.25,5
flu,sd,December 28 - January 31,202601-202605,4.588,5.24,5
flu,tn,December 28 - January 31,202601-202605,3.439999999999999,4.31,5
flu,tx,December 28 - January 31,202601-202605,4.06,4.71,5
flu,ut,December 28 - January 31,202601-202605,3.3939999999999997,4.2,5
flu,va,December 28 - January 31,202601-202605,3.79,5.52,5
flu,vt,December 28 - January 31,202601-202605,4.27,5.22,5
flu,wa,December 28 - January 31,202601-202605,4.388,5.36,5
flu,wi,December 28 - January 31,202601-202605,3.9840000000000004,5.24,5
flu,wv,December 28 - January 31,202601-202605,4.072,4.78,5
flu,wy,December 28 - January 31,202601-202605,2.468,4.11,5
covid,ak,October 1 - October 25,202540-202543,0.3925,0.54,4
covid,al,October 1 - October 25,202540-202543,0.3475,0.49,4
covid,ar,October 1 - October 25,202540-202543,0.525,0.61,4
